category,darija,english,source
police_w_dawla,3tani 5teya 5ater el barbriz mta3 el karahba mkaser,he gave me a fine because my car windshield was cracked,self
police_w_dawla,matnajem t9id chay fel baladeya ken ma3andekch aktef,you can't get anything done at city hall without connections,self
police_w_dawla,mchit njaded fel cart gris mte3i ou 9alouli arja3 jem3a jeya,i went to renew my car registration and they told me come back in a week,self
el_ghorba,kol manzid neb3ed 3la tounes kol ma 9albi yzid youja3,the further i get from tunisia the more my heart hurts,self
el_ghorba,el ghorba t3almek barcha hajet ama tordek bered men de5el,being away from home teaches you a lot but it makes you cold inside,self
el_ghorba,kol manchem el mlou5eya netfaker omi,every time i smell mloukhia i think of my mom,self
el_ghorba,n7ess rou7i ghrib 7atta m3a ouled bledi,i feel like a stranger even among people from my own country,self
el_ghorba,fel ghorba ta3ref chkoun berasmi we9ef m3ak,being away from home shows you who was really there for you,self
el_ghorba, mafama 7ata chy fel denya a8la men bledek,nothing in the world compares to your homeland,self
el_ghorba,mridh ou mafama 7ad ytol 3laya,i'm sick and i have no one to check on me,self
el_ghorba,kol 3id n3adih nebki 3la la3bed li metwa7achhom,every eid i spend it crying over the people i'm missing,self
el_ghorba,ena fel ghorba ama 9albi fi tounes,my body is far away but my heart never left tunisia,self
el_ghorba,e5er haja ta5serha ki tkoun fel ghorba heya karamtek,the last thing you lose when you're away from home is your dignity,self
el_3aza_w_mawt,allah yara7mou w ysaknou fi dar men diyar el jannah,may God have mercy on him and place him in one of the houses of paradise,self
el_3aza_w_mawt,el ba9a2 lel leh w 3adham allah ajerkom,all that remains is god and may he grace your deeds,self
el_3aza_w_mawt,el jiran dima yjiew bel mekla wa9teli fama chkoun yetwafa,the neighbors always come with food when someone passes away,self
el_3aza_w_mawt,el dar m3abiya bel ness ou el bke 93ad tletha ayem,the house was packed with people and the crying didn't stop for three days,self
el_3aza_w_mawt,mche el rabbou ou ma5ala ourah ken ouji3et el ras,he went to God and left behind nothing but heartache,self
el_3aza_w_mawt,el rjel fi bit ou el sne fi bit o5ra fel 3aza,at the funeral gathering the men are in one room and the women in another,self
el_3aza_w_mawt,5atmou el 9or2an 3la rou7ou w d3aw 3lih,they completed a full quran recitation for his soul and prayed for him,self
el_3aza_w_mawt,ki twafa el bou el 3ila el kol we9fou m3a b3athom fi as3ab periode fi 7yethom,when their father passed the whole family had to carry themselves through the hardest time,self
el_3aza_w_mawt,ghasslouh ou kafnouh ou defnouh 9bal slet el 3asr,they washed him and shrouded him and buried him before the afternoon prayer,self
el_3aza_w_mawt,arb3in youm 3la moutet omi ou mazelt manich msada9,forty days since my mother passed and I still can't believe it,self
summer_beach_culture,mchina lel b7ar fel sbe7 bekri ou l9ina el blayes el kol deja m3abiya,we went to the beach early in the morning and found every spot already taken,self
summer_beach_culture,krit parasol ou korsi b 30 dinar ou 9a3det 8adi nhar kemil,I rented an umbrella and a chair for 30 dinars and spent the whole day there,self
summer_beach_culture,fi aout matnajmch tousel lel chat m3abi 3ale5er,in august you can't even reach the water it's so packed with people,self
summer_beach_culture,rja3t mel b7ar ou jildti 9a3det ta7ra9 lila kemla,i came back from the beach and my skin was burning all night,self
summer_beach_culture,el 9hawi fel marsa fel sif kolha just bech ya3rfouk el nes 8adi ou tchouf el nes,the cafes in la marsa in summer are just about seeing and being seen,self
summer_beach_culture,93adet n3oum fel b7ar 7ata lin 8rbet el chams,i stayed swimming in the sea until the sun went down,self
summer_beach_culture,jibli sandwich thon w coca wena 9a3ed n3oum,bring me a tuna sandwich and a coke while i swim,self
summer_beach_culture,kol 3am nemchou lel b7ar w kol 3am nafs el 3bed ou nafs el jaw,every year we go to the beach every year same crowd same joy,self
summer_beach_culture,fel hammamet el bnet yalbsou mli7 ou el weldin ytaybou fi wist el 5iyam mte3hom,in hammamet the girls dress up and the parents cook inside their beach tents,self
summer_beach_culture,el la7dha li tousel feha lel b7ar ou tchem ri7et el me tansa kolchay,the moment you arrive at the beach and smell the sea air you forget everything else,self
3id_el_kbir,3idek mabrouk,Blessed Eid,self
3id_el_kbir,baba mche dhba7 el 3alouch fel sbe7 bekri,Dad went to slaughter the sheep early in the morning,self
3id_el_kbir,el 3alouch je 8ali barcha el sne chrineh bissif,The sheep was very expensive this year we barely managed to buy it,self
3id_el_kbir,a3ti lel jiren mousem mel 3alouch,Go give the neighbors their share of the meat,self
3id_el_kbir,el s8ar far7anin b 7weyej el 3id el jdod,The kids are thrilled about their new Eid clothes,self
3id_el_kbir,mchina le slet el 3id fel ssbe7 ou salamna 3al 7ouma el kol,We went to the Eid prayer in the morning and greeted the whole neighborhood,self
3id_el_kbir,3amalna 9leya w kebda mechwiya,We made 9leya and grilled liver,self
3id_el_kbir,ras el 3alouch t9as men 8ir ma farka7 ,The sheep's head got cut without resistance,self
3id_el_kbir,kol 3am wenti 7aya b5ir ya omi,Wishing you well every year Mom,self
3id_el_kbir,3adina el 3id m3a el 3ila el kol fi dar jaddi,We spend Eid  with the whole family at grandpa's house,self
el_pharmaci_w_dwa,a3tini 7aja louji3et el kerch,Give me something for a stomachache,self
el_pharmaci_w_dwa,ma3ndiich ordonance mel tbib a3tini el dwe barka,I don't have a doctor's prescription just give me the medicine,self
el_pharmaci_w_dwa,chrit el dwe min 8ir ma nemchi lel tbib el pharmasi ya3rafni,I bought medicine without going to the doctor the pharmacist knows me,self
el_pharmaci_w_dwa,a3tini antibiotique 3andi infection fi 9rejmi,Give me antibiotics I have an infection in my throat,self
el_pharmaci_w_dwa,9ali eo pharmacien 9oul el 5ouk yji howa yechri b ro7ou bech y5ales,The pharmacist told me let your brother come buy it himself to pay,self
el_pharmaci_w_dwa,chwaya paracetamol w vitamin c w nrawa7 lel dar,Just some paracetamol and vitamin C and I'll go back home,self
el_pharmaci_w_dwa,el farmacien fi 7oumetna ya3ref kolchay t9ouch 3lih tbib,The pharmacist in our neighborhood knows everything he basically acts as a doctor,self
el_pharmaci_w_dwa,ma3sndi 7ata dinar fou9 soum el dwe,I don't have an extra dinar above the medicine price,self
el_pharmaci_w_dwa,9ali 5outh el 7arboucha el 5adhra mara fel sbe7 w mara fel 3chiya,He told you take the green capsule once in the morning and once in the evening,self
el_pharmaci_w_dwa,el farmacien 9ali hedha 9wi 3lik barcha,The pharmacist told me this is too strong for you,self
mawsem_el_zitoun,mawsem el zitoun bde w el 3aylet el kol mchew lel bled,olive season started and all the families went back to the countryside,self
mawsem_el_zitoun,baba w 3ami 9a3dou 9a3din yejnou fel zitoun mel sbe7 bekri,dad and uncle have been harvesting since early morning,self
mawsem_el_zitoun,el zit li 5arejneh bekri behi lel se7a,our early harvest olive oil is good for your health,self
mawsem_el_zitoun,el m3asra mta3 3ami dima m3abiya fi mawsem el zitoun,my uncle's press is always busy during harvest season,self
mawsem_el_zitoun,ommi t7ot zit 3al 5obz kol sbe7,my mom adds olive oil to the bread every morning,self
mawsem_el_zitoun,jnina stal kbir zitoun lyoum t3ebna barcha,we harvested a large plot today we got really tired,self
mawsem_el_zitoun,zitoun mta3 el bled a5dher w mezyen mocuh kima li yetbe3 fel sou9,our hometown olives are green and beautiful not like the ones sold in stores,self
mawsem_el_zitoun,kol 3am natel3ou lel jbal fi mawsem el zitoun,every year we go to the mountains during olive season,self
mawsem_el_zitoun,3andna 3chrin chajret zitoun fil ghaba,we have twenty olive trees in the grove,self
mawsem_el_zitoun,yejnou el zitoun bel yedd mouch bel makinet 3la tari9et jdoudhom,they harvest by hand not by machine that is the old way,self
nhar_el_jom3a,nhar el jom3a ma tkalem 7ad ken ba3d el 3asr el kolha fel dar,on fridays don't bother calling until after afternoon prayer everyone is home,self
nhar_el_jom3a,baba mshe lel jame3 w ommi tayeb fi kosksi,dad went to the mosque and mom is making couscous,self
nhar_el_jom3a,nhar el jem3a yalzmek tekel m3a el 3ila mouch wa7dek,on fridays you have to eat with the family not alone,self
nhar_el_jom3a,el 7wenet el kol msakra nhar el jem3a fel sbe7,all the shops close friday morning,self
nhar_el_jom3a,ba3d slet el jem3a el nes el kol temchi tofter,after friday prayer everyone comes home for lunch,self
nhar_el_jom3a,nhar el jem3a nhar calm w mta3 ra7a mouch bech to5rej fih,friday is a day of quiet and rest not going out,self
nhar_el_jom3a,kol nhar jem3a omi t3ayet lel 3ila el kbira bech yjiew lel dar,every friday my mom calls the whole extended family to come over,self
nhar_el_jom3a,nhar el jem3a el kosksi bel 7out wala bel l7am el la3b le,my friday couscous is with fish or meat that is non-negotiable,self
nhar_el_jom3a,mato5rojech el bara nhar el jem3a el jiren ye7kiew,you don't want to be seen outside on friday the neighbors will talk,self
nhar_el_jom3a,nhar el jem3a ba3d tfour el 9ayla el nes el kol t9ayel 3al bank,after friday lunch everyone naps on the couch,self
el_hajj_w_el_omra,3ami mche lel 7aj w rja3 w el kolna mchina nesta9blou fih fel matar,my uncle went to hajj and came back and we all went to receive him at the airport,self
el_hajj_w_el_omra,meli rja3 men macca w 3inih kolha ra7a w calme,since he came back from mecca you can see the serenity in his eyes,self
el_hajj_w_el_omra,ommi t7eb ta3mel 3omra 9bal matmout hedhika 7elmetha,my mom wants to go to umrah before she dies it is her dream,self
el_hajj_w_el_omra,el 7oma kemla 5arjet bech tchoufou yemchi nharetha ken nhar kbir,the whole neighborhood came out to see him off and his departure day was a big occasion,self
el_hajj_w_el_omra,jebelna tmar w me zemzem w 3etr men macca,he brought us dates and zamzam water and perfume from mecca,self
el_hajj_w_el_omra,wa9teli we7id yrawa7 mel 7aj n3aytoulou 7aj w hedheka i7tiram lih,when someone returns from hajj we call them el haj and that is out of respect,self
el_hajj_w_el_omra,rajel mameti 9al raw el 3am el jey bech yemchi lel 7aj bech ykamel arken el islam,my grandmother's husband made his intention to go to hajj next year and complete the pillars of islam,self
el_hajj_w_el_omra,wa9teli woslou el 7ojej lel ka3ba walou yebkiew mel far7a w el 5ouchou3,the moment the pilgrims reach the kaaba they stood and cried from joy and reverence,self
el_hajj_w_el_omra,y9oulou el 3omra fi ramdhan kima 7aj kemel,they say umrah in ramadan is equal to a complete hajj,self
el_hajj_w_el_omra,3amtek lebset el libes el abyedh w safret lel 7aj w raj3et 9albha safi w jdid,your aunt wore the white garment and traveled for hajj and came back with a new pure heart,self
taxi_culture,a7bes lena yezi,stop here that's enough,self
taxi_culture,5adem el compteur ya 5ouya,turn the meter on sir,self
taxi_culture,win mechi,where are you going,self
taxi_culture,n7eb nemchi lel ma7ata,I want to go to the station,self
taxi_culture,9adeh tatla3 el coursa,how much is the fare,self
taxi_culture,3andekchi be9i,do you have change,self
taxi_culture,el embouteillage kertha lyoum,traffic is a mess today,self
taxi_culture,emchi toul mba3d dour 3al limmin,go straight then turn right,self
taxi_culture,7ot compteur wala manich tala3,put the meter on or I am not getting in,self
taxi_culture,a7bes 3ala jnab chwaya,pull over to the side a bit,self
military_service,3aytouli lel jaych,I got my military draft notice,self
military_service,9ar3louli rasi fi awil nhar,they shaved my head on the first day,self
military_service,el makla lena 7acha na3met rabi,the food here is inedible,self
military_service,3andi mission nhar el jem3a,I have a mission this Friday,self
military_service,el capitaine y3ayet 3lina kol sbe7,the captain yells at us every morning,self
military_service,ne7seb fel ayem wa9teh youfa,I am counting down the days intil it's over,self
military_service,ma3endich signal jemla lena,I have absolutely no signal here,self
military_service,el thakna b3ida 3al dar,the military base is far from home,self
military_service,waklouna ken el rouz w el chorba,they only gaves us rice and soup,self
military_service,lyoum howa e5er nhar fel 5edma el wataneya,today is the the last day of national service,self
university_life,el amphi ken yser m3abi lyoum,the lecture hall was packed today,self
university_life,mafhmt chay men el cours,I did not understand anything from the lecture,self
university_life,faskit men 5ouya fel devoir,I copied from my brother in the exam,self
university_life,el prof 8ayeb lyoum,the professor did not come today,self
university_life,yalzamni na3mel exposé nhar el jem3a,I have to do a presentation on Friday,self
university_life,el mabit b3id 3la el faculté,the student residence is far from the faculty,self
university_life,taya7t module el math,I failed the maths module,self
university_life,el tasjil saker w ma3malt chy,registration closed and I did nothing,self
university_life,na3tiew lb3adhna fichet el cour,we share notes with each other,self
university_life,3andi rattrapage el jem3a el jaya,I have a resit exam next week,self
fishing_culture,5raj lel bhar men bekkri el sbah,he went out to sea early in the morning,self
fishing_culture,el fluka rja3et bel 7out,the fishing boat came back with fish,self
fishing_culture,7attejna el filet w stanna,we cast the net and waited,self
fishing_culture,el bhar heyej el youm ma yet5rajch,the sea is rough today do not go out,self
fishing_culture,souk el 7out el sbah 3amer men bekkri,the fish market in the morning is full early,self
fishing_culture,el bel7a ghali el youm fel marsa,red mullet is expensive today at the port,self
fishing_culture,el 7archa tnajet el youm,the sardines were a good catch today,self
fishing_culture,3ich men el bhar w 3ich lel bhar,he lived from the sea and lived for the sea,self
fishing_culture,el marsa 7amya bel senyara sbah elbakri,the port is lively with fishermen early morning,self
fishing_culture,baba senyar w jeddi senyar w ena senyar,my father is a fisherman my grandfather was a fisherman and I am a fisherman,self
